id_Articulo,id_Almacen,id_Entrada,id_Proveedor,id_Time,NumDeEntradas,CantidadArticulos
4149,7,155,109,20150901,0,3
4183,7,155,109,20150901,0,3
4152,7,155,109,20150901,0,3
4124,7,155,109,20150901,0,3
4530,7,155,109,20150901,0,3
4482,7,155,109,20150901,0,3
3978,7,155,109,20150901,0,3
3880,7,155,109,20150901,0,3
4120,7,155,109,20150901,0,3
3929,7,155,109,20150901,0,3
3930,7,155,109,20150901,0,3
3935,7,155,109,20150901,0,3
4129,7,155,109,20150901,0,3
4509,7,155,109,20150901,0,3
4243,7,155,109,20150901,0,3
4262,7,155,109,20150901,0,3
4263,7,155,109,20150901,0,3
4266,7,155,109,20150901,0,3
4650,7,155,109,20150901,0,3
4652,7,155,109,20150901,0,3
4654,7,155,109,20150901,0,3
4656,7,155,109,20150901,0,3
4616,7,155,109,20150901,0,3
4631,7,155,109,20150901,0,3
4640,7,155,109,20150901,0,3
4570,7,155,109,20150901,0,3
4140,7,155,109,20150901,0,2
4150,7,155,109,20150901,0,2
4146,7,155,109,20150901,0,2
4182,7,155,109,20150901,0,2
4154,7,155,109,20150901,0,2
4156,7,155,109,20150901,0,2
4500,7,155,109,20150901,0,2
4502,7,155,109,20150901,0,2
4415,7,155,109,20150901,0,2
4417,7,155,109,20150901,0,2
4418,7,155,109,20150901,0,2
4421,7,155,109,20150901,0,2
4424,7,155,109,20150901,0,2
4127,7,155,109,20150901,0,2
4531,7,155,109,20150901,0,2
4525,7,155,109,20150901,0,2
4520,7,155,109,20150901,0,2
4521,7,155,109,20150901,0,2
4523,7,155,109,20150901,0,2
4486,7,155,109,20150901,0,2
4488,7,155,109,20150901,0,2
3981,7,155,109,20150901,0,2
4376,7,155,109,20150901,0,2
4379,7,155,109,20150901,0,2
3890,7,155,109,20150901,0,2
3915,7,155,109,20150901,0,2
3916,7,155,109,20150901,0,2
3920,7,155,109,20150901,0,2
3921,7,155,109,20150901,0,2
3925,7,155,109,20150901,0,2
4116,7,155,109,20150901,0,2
4115,7,155,109,20150901,0,2
4133,7,155,109,20150901,0,2
4493,7,155,109,20150901,0,2
4074,7,155,109,20150901,0,2
4078,7,155,109,20150901,0,2
4244,7,155,109,20150901,0,2
4234,7,155,109,20150901,0,2
4283,7,155,109,20150901,0,2
4314,7,155,109,20150901,0,2
4359,7,155,109,20150901,0,2
4265,7,155,109,20150901,0,2
4274,7,155,109,20150901,0,2
4651,7,155,109,20150901,0,2
4657,7,155,109,20150901,0,2
4625,7,155,109,20150901,0,2
4626,7,155,109,20150901,0,2
4622,7,155,109,20150901,0,2
4089,7,155,109,20150901,0,1
4123,7,155,109,20150901,0,1
4516,7,155,109,20150901,0,1
4513,7,155,109,20150901,0,1
4423,7,155,109,20150901,0,1
4126,7,155,109,20150901,0,1
4481,7,155,109,20150901,0,1
4484,7,155,109,20150901,0,1
4485,7,155,109,20150901,0,1
3977,7,155,109,20150901,0,1
3980,7,155,109,20150901,0,1
3871,7,155,109,20150901,0,1
3905,7,155,109,20150901,0,1
4490,7,155,109,20150901,0,1
4508,7,155,109,20150901,0,1
4204,7,155,109,20150901,0,1
4313,7,155,109,20150901,0,1
4261,7,155,109,20150901,0,1
4568,7,155,109,20150901,0,1
4503,7,155,109,20150901,0,1
4660,7,156,109,20111216,0,51
4661,7,156,109,20111216,0,47
4664,7,156,109,20111216,0,23
4257,7,156,109,20111216,0,14
4630,7,156,109,20111216,0,5
4667,7,156,109,20111216,0,3
4671,7,157,109,20101127,1,3
4672,7,157,109,20101127,1,2
4607,7,158,109,20120324,1,200
3921,7,159,109,20100421,0,8
4506,7,159,109,20100421,0,2
4236,7,159,109,20100421,0,1
4245,7,159,109,20100421,0,1
4367,7,159,109,20100421,0,2
4369,7,159,109,20100421,0,1
4550,7,159,109,20100421,0,1
4552,7,159,109,20100421,0,3
4555,7,159,109,20100421,0,2
4566,7,159,109,20100421,0,36
4564,7,159,109,20100421,0,25
4585,7,159,109,20100421,0,1
4661,7,159,109,20100421,0,3
4615,7,159,109,20100421,0,1
4673,7,159,109,20100421,0,15
4643,7,159,109,20100421,0,1
4635,7,159,109,20100421,0,24
4646,7,159,109,20100421,0,15
4559,7,159,109,20100421,0,2
4415,7,160,88,20090512,0,2
4421,7,160,88,20090512,0,4
4521,7,160,88,20090512,0,2
4147,7,160,88,20090512,0,10
4118,7,160,88,20090512,0,10
4524,7,161,88,20191118,1,30
4194,7,162,88,20090206,1,10
4279,7,163,88,20180519,1,4
4511,7,164,109,20091213,1,4
4646,7,165,93,20110414,1,50
3930,7,166,88,20110507,0,6
4507,7,166,88,20110507,0,10
4657,7,166,88,20110507,0,4
4121,7,166,88,20110507,0,10
4236,7,167,88,20180301,1,5
4244,7,167,88,20180301,1,10
4576,7,168,91,20140322,0,15
4552,7,168,91,20140322,0,18
4553,7,168,91,20140322,0,12
4674,7,169,109,20120611,0,1
4644,7,169,109,20120611,0,1
4645,7,169,109,20120611,0,33
4343,7,170,88,20130116,0,5
4089,7,170,88,20130116,0,2
4534,7,170,88,20130116,0,10
4577,7,171,109,20160108,1,3
4577,7,172,109,20150104,1,10
4563,7,173,95,20101129,1,32
4565,7,173,95,20101129,1,36
4505,7,174,88,20121023,0,5
4077,7,174,88,20121023,0,1
4310,7,174,88,20121023,0,10
4524,7,174,88,20121023,0,5
4525,7,174,88,20121023,0,2
4384,7,174,88,20121023,0,10
4365,7,174,88,20121023,0,2
4576,7,175,91,20171110,0,15
4551,7,175,91,20171110,0,24
4553,7,175,91,20171110,0,18
4640,7,175,91,20171110,0,12
4516,7,176,88,20100721,0,5
4311,7,176,88,20100721,0,4
4140,7,176,88,20100721,0,2
